	logFC	logCPM	PValue	FDR
FGRRES_13540	-0.9452544	5.237451	0.06897269	0.12884
FGRRES_13541	0.6964461	3.880485	0.2365337	0.3432877
FGRRES_13543_4_M	-0.8943171	5.447561	0.1056272	0.1821662
FGRRES_13549	0.7583142	4.689546	0.2033518	0.3052624
FGRRES_13550	0.6087982	1.280074	0.381084	0.4974029
FGRRES_13551	-0.1491226	4.132088	0.7793756	0.8440837
FGRRES_13552	1.149353	3.738416	0.05502227	0.107383
FGRRES_13584	0.3098165	5.302406	0.5447999	0.6487496
FGRRES_13585	2.206747	4.576004	0.0004250176	0.001734756
FGRRES_13587	-4.31415747011136	6.24029444283398	1.22442790698663e-13	2.82138345531336e-12
FGRRES_13594	-6.303991	0.3402302	0.001102564	0.003940115
FGRRES_13598	-3.083855	2.552291	9.85155e-05	0.0004816165
FGRRES_13599	0.07240854	2.228268	0.8563987	0.8992695
FGRRES_13600	-1.225323	0.01477642	0.5203059	0.6268043
FGRRES_13601	-3.443159	0.09246938	0.005077826	0.01453313
FGRRES_13602	0.8504129	1.432378	0.2483698	0.3563222
FGRRES_13604_M	-0.1714739	2.626072	0.7736152	0.8401087
FGRRES_13605	-1.472551	6.007807	0.01085219	0.02777803
FGRRES_13607	0.1845062	6.057928	0.7398569	0.8136252
FGRRES_13608	-0.5465145	0.5729296	0.4754498	0.5866367
FGRRES_13610_M	0.310722	4.340318	0.5589681	0.6606927
FGRRES_13611_M	1.726666	3.147098	0.006903912	0.01897396
FGRRES_13612	-0.1002131	6.829989	0.8557196	0.89887
FGRRES_13613	-1.394382	0.7142501	0.04803295	0.09614564
FGRRES_13616	2.44877380558482	5.2307054909698	5.498073433826e-06	3.71316683119562e-05
FGRRES_13617	-1.214276	5.709731	0.02219802	0.05072966
FGRRES_13619	2.9899016024136	5.85595275697849	5.98109093154115e-08	6.42700790891249e-07
FGRRES_13622	0.6233667	3.239289	0.3311276	0.4458719
FGRRES_13623	1.283369	4.090876	0.03093568	0.06672196
FGRRES_13624	2.63112	0.7641887	0.004373821	0.01287821
FGRRES_13625	-0.5706093	0.5870026	0.4464834	0.5599358
FGRRES_13626_M	1.940792	3.90301	0.003598358	0.01086368
FGRRES_13627	2.359451	2.092419	0.001561862	0.005308766
FGRRES_13628	-4.26891374048252	2.74658325458746	4.82735444305898e-07	4.29788989093676e-06
FGRRES_13630_M	-1.182215	7.997243	0.05400878	0.1057855
FGRRES_13631	-0.005860994	1.266085	0.915792	0.9412017
FGRRES_13632	-2.201451	4.817927	0.001216658	0.004288532
FGRRES_13633	-1.062856	2.337265	0.07201811	0.1334691
FGRRES_13636	-1.216155	3.880784	0.03392804	0.07224269
FGRRES_13638_M	-1.272994	4.778769	0.01744618	0.04139558
FGRRES_13639	-1.189978	2.770714	0.0744928	0.1370986
FGRRES_13640	0.1329121	5.234882	0.8113068	0.8673279
FGRRES_13641_M	0.3286269	5.813445	0.5364373	0.6413256
FGRRES_13648	0.1793918	1.926743	0.7852529	0.8488396
FGRRES_13650	-2.218803	5.425329	6.793451e-05	0.0003459846
FGRRES_13652_3_M	-0.09969719	1.995848	0.9531626	0.967063
FGRRES_13654_M	3.706085	-0.116974	0.003787215	0.0113606
FGRRES_13655	3.77900648209854	1.84121411108031	4.91745245289302e-06	3.37565537452549e-05
FGRRES_13656	-1.107888	3.248806	0.07365244	0.1357822
FGRRES_13660	-0.1736084	6.242087	0.7415036	0.8151057
FGRRES_13661	0.6449681	6.260314	0.2669111	0.3774807
FGRRES_13663	-0.2415066	4.807218	0.6378277	0.727672
FGRRES_13669	-7.75324964187549	1.49973920190409	3.72302481097299e-06	2.63746659748628e-05
FGRRES_13670	-1.232616	5.973663	0.03069499	0.06628188
FGRRES_13672	-3.69702648131555	4.05740169255985	2.31427925103466e-07	2.21294032700257e-06
FGRRES_13673	0.6971958	3.668049	0.2370093	0.3436304
FGRRES_13674	0.368711	5.406734	0.4756016	0.5867573
FGRRES_13675	-3.12401107711416	6.87905155743885	5.34488633905796e-07	4.70844573358734e-06
FGRRES_13679	-2.572776	3.43652	0.00045214	0.001830998
FGRRES_13683	-2.125554	1.148535	0.03178431	0.0682809
FGRRES_13685	3.87247864241516	9.33998819360493	5.52739360261137e-07	4.83780667493074e-06
FGRRES_13689	-6.23217777635261	9.1850779469459	6.46601862883435e-34	4.01004001021367e-32
FGRRES_13692	0.1898034	0.2431202	0.7571551	0.8276165
FGRRES_13695	0.4179383	0.3597389	0.1229791	0.2053689
FGRRES_13696	-3.098021	3.078192	5.064239e-05	0.0002644956
FGRRES_13697	-1.260807	5.442685	0.01700788	0.04052394
FGRRES_13698	0.3208551	1.763014	0.6156929	0.7089777
FGRRES_13704	-1.80678	5.202101	0.001230087	0.004326816
FGRRES_13706	-2.816882	2.089859	0.001310584	0.004558901
FGRRES_13707	-2.049467	0.5627588	0.05107221	0.1008711
FGRRES_13708	2.77580642367183	5.76687933643113	1.52087969072882e-06	1.18493232472935e-05
FGRRES_13709	-0.9795353	2.55896	0.108698	0.1863369
FGRRES_13713	2.241718	5.245243	5.401465e-05	0.0002800865
FGRRES_13714	-0.7011235	3.060542	0.2613019	0.3713344
FGRRES_13715	-0.8862259	5.059146	0.144831	0.2331431
FGRRES_13716	-2.299487	4.449239	0.001905816	0.006317601
FGRRES_13717_M	0.06546593	3.550444	0.8960119	0.9268696
FGRRES_13718	1.0922	3.596694	0.07506361	0.1378919
FGRRES_13723	-2.241739	5.777872	0.0001127974	0.0005428783
FGRRES_13724	-1.265653	1.426287	0.1222429	0.2045171
FGRRES_13728	-0.7243225	5.361346	0.1612017	0.254459
FGRRES_13729	-1.171061	5.12788	0.0247108	0.05550213
FGRRES_13736	0.7664794	2.875136	0.2347182	0.3416532
FGRRES_13737	3.11093026302703	3.24514284711987	3.62415299799943e-06	2.57583054926574e-05
FGRRES_13746	0.4399039	6.071919	0.3958376	0.51226
FGRRES_13880	-1.657456	3.782961	0.01298791	0.0323026
