	logFC	logCPM	PValue	FDR
FGRRES_04253	0.5345144	2.21289	0.4110125	0.5271335
FGRRES_04255	0.1606937	4.469454	0.798289	0.8588496
FGRRES_04257_M	0.1577309	3.174144	0.8106178	0.8669333
FGRRES_04258_M	0.3855531	3.116677	0.5184868	0.625585
FGRRES_04260	0.475005	5.947767	0.4030248	0.5200689
FGRRES_04262	0.2809426	3.780543	0.6445314	0.7342394
FGRRES_04263	0.3886893	5.86753	0.478786	0.5894798
FGRRES_04264	-0.396168	6.613356	0.4731891	0.5849113
FGRRES_04265	-0.4040609	4.334757	0.4472787	0.5606741
FGRRES_04266	-0.07577036	5.257048	0.8764626	0.9127962
FGRRES_04268	1.190944	5.609307	0.02227388	0.0508281
FGRRES_04270_M	0.04634771	5.723112	0.9298188	0.9503978
FGRRES_04271	-0.7126586	3.960293	0.2335145	0.3404074
FGRRES_04272	0.06713598	3.554481	0.8904342	0.9225731
FGRRES_04273	1.007266	4.863726	0.05754685	0.1112497
FGRRES_04276	-0.3189825	4.88225	0.5799466	0.6797884
FGRRES_04277	1.108591	4.752196	0.04093092	0.08450129
FGRRES_04278	-0.9346459	5.606138	0.1152274	0.195154
FGRRES_04279_M	-0.2676858	6.238575	0.6257294	0.7175656
FGRRES_04280	0.8740188	5.591741	0.1003173	0.1746461
FGRRES_04282	0.6599445	4.541197	0.2507096	0.3591067
FGRRES_04283	-0.8110624	8.977708	0.1756128	0.271848
FGRRES_04284	0.8385646	6.619738	0.1398463	0.2269706
FGRRES_04285_M	0.02026751	6.883113	0.9788047	0.9813244
FGRRES_04286	0.5957153	4.66913	0.2629569	0.3732015
FGRRES_04287	1.014604	6.542694	0.07311737	0.1349563
FGRRES_04290	-0.3649666	10.65037	0.544979	0.6488215
FGRRES_04291	1.304932	5.78183	0.02574088	0.0574354
FGRRES_04292	-0.2265765	5.094568	0.6671499	0.7538342
FGRRES_04295_M	0.9170561	4.792683	0.08034943	0.1457761
FGRRES_04297	-0.4839808	4.291283	0.3733164	0.4891468
FGRRES_04300	0.4502521	4.149555	0.4487373	0.5621777
FGRRES_04302	-0.3316628	4.847238	0.6181344	0.7110347
FGRRES_04305	-1.144671	3.324636	0.08692156	0.1550711
FGRRES_04308	1.143546	4.814157	0.04030166	0.08347199
FGRRES_04309	-0.7167598	8.556468	0.2362995	0.3430389
FGRRES_04312_M	0.6223424	10.8775	0.3004786	0.4127967
FGRRES_04314	0.6028666	5.775105	0.2697064	0.3805908
FGRRES_04315	0.5871351	7.756021	0.315578	0.4295169
FGRRES_04319	1.111833	4.613069	0.04416285	0.08990798
FGRRES_04320	-0.144363	5.692863	0.801718	0.8608078
FGRRES_04321	-0.2302917	4.802633	0.6803324	0.7640364
FGRRES_04322	-0.08168448	4.151786	0.868468	0.9073434
FGRRES_04323	-0.4007925	4.523698	0.4572291	0.5696599
FGRRES_04324	-0.2212522	3.868495	0.6887236	0.7708278
FGRRES_04325	0.5469535	3.107518	0.4418973	0.5557899
FGRRES_04327	-0.295924	7.48207	0.6080323	0.7031406
FGRRES_04329	-0.2510371	4.355434	0.6516161	0.7402124
FGRRES_04330	-0.4045773	5.206224	0.4256817	0.5415453
FGRRES_04331	-1.520848	2.575941	0.02828434	0.06198908
FGRRES_04333	-1.22361	3.612919	0.08912285	0.1582025
FGRRES_04334	1.226742	2.720226	0.06239212	0.1190056
FGRRES_04335	-1.186409	4.3231	0.04362601	0.08909775
FGRRES_04339	-0.1665159	4.962609	0.7654893	0.8342058
FGRRES_04350	0.49784	5.698632	0.3657533	0.4816211
FGRRES_04354	0.4309453	3.106445	0.4705676	0.5824005
FGRRES_04355	0.402905	3.84254	0.4668732	0.5788843
FGRRES_04356	0.2596412	5.745108	0.6472191	0.7367599
FGRRES_04359	-0.9962246	4.874409	0.05889521	0.1134321
FGRRES_04361	-0.6470251	5.700745	0.260909	0.3710641
FGRRES_04363	0.4916701	7.302909	0.4112655	0.527347
