	logFC	logCPM	PValue	FDR
FGRRES_08997	-0.3772296	6.549262	0.4862669	0.5969296
FGRRES_08999	-0.55421	4.383841	0.30931	0.4227354
FGRRES_09000	-1.817658	7.378855	0.008658433	0.02290833
FGRRES_09001	0.4637255	5.924945	0.4210148	0.5371825
FGRRES_09002	1.507536	6.325157	0.005605538	0.01578949
FGRRES_09003	1.280203	5.621178	0.01425179	0.03493893
FGRRES_09004_M	1.7254	3.786293	0.005077482	0.01453313
FGRRES_09005_M	0.5220838	6.706479	0.3464954	0.4623774
FGRRES_09006_M	-0.6872606	8.781115	0.2448515	0.3521099
FGRRES_09007	0.7315646	3.190976	0.2340246	0.340922
FGRRES_09008	-2.566589	4.750607	0.0001444855	0.0006761971
FGRRES_09010_M	0.3102452	0.992003	0.6284128	0.7198822
FGRRES_09011	0.4172924	4.664979	0.4289047	0.5445825
FGRRES_09012	-0.8170857	7.610863	0.1558488	0.2471041
FGRRES_09013_M	-2.233305	2.140861	0.003813325	0.01142944
FGRRES_09014	-0.4392556	6.539693	0.4160886	0.5320728
FGRRES_09016_M	0.8377385	8.137181	0.1569635	0.2486898
FGRRES_09017	-0.5560932	6.096396	0.2958175	0.4084095
FGRRES_09018	1.599972	3.604297	0.007446705	0.02019972
FGRRES_09019	-1.271951	7.529776	0.03638264	0.07651265
FGRRES_09020	-2.84024528790665	6.14655285368343	6.75787267423525e-06	4.4694206053306e-05
FGRRES_09021	-0.5369677	5.464588	0.2970591	0.4093946
FGRRES_09022	1.239172	4.597338	0.03591726	0.07567658
FGRRES_09023	-1.582232	2.995575	0.01787215	0.0422125
FGRRES_09025	1.404261	0.5795114	0.1102447	0.1882746
FGRRES_09026_M	-1.474103	4.485667	0.007152949	0.01954947
FGRRES_09028	2.36306591761289	6.01888967196622	1.53228208903389e-05	9.19793003998052e-05
FGRRES_09031	1.614955	3.076704	0.01094119	0.02795397
FGRRES_09032_M	1.496529	3.530503	0.0257776	0.05748187
FGRRES_09034	1.178709	5.011381	0.02515122	0.05637468
FGRRES_09035	-0.1080423	7.499979	0.8729591	0.9105454
FGRRES_09036_M	1.14265	5.060441	0.03979446	0.08251609
FGRRES_09037_M	1.948584	4.792745	0.0005253762	0.002077955
FGRRES_09038	1.94324	2.518205	0.01167788	0.02960523
FGRRES_09039_M	-1.639803	7.302395	0.02120689	0.04884515
FGRRES_09040	1.878618	5.029566	0.0004688715	0.001890722
FGRRES_09041	-0.8338098	5.763436	0.1931263	0.2935732
FGRRES_09042	0.4831225	6.721433	0.463188	0.5754326
FGRRES_09044_M	0.7696436	7.443401	0.2044963	0.306589
FGRRES_09045	1.052806	6.756496	0.06891473	0.1287539
FGRRES_09048_M	1.628421	2.710856	0.01624803	0.03903916
FGRRES_09049	2.781004	0.8039708	0.001551517	0.005281874
