GC content	Induction>1.5	Variants	M.H3K27me3	M.H3K4me2	M.H3K4me3
48.712	NA	15.1667	5134	11106	9401
49.416	NA	20.6667	4825	36279	42919
48.236	1.514196118	45.5	4946	18811	14556
48.572	6.483820576	47.8333	5127	28371	45266
49.636	1.773485514	49.1667	5124	42312	49079
48.872	3.19311103	56.5	5171	7361	7793
47.852	NA	21.3333	7632	28306	18225
47.516	4.575854285	46.8333	4988	20394	19594
47.76	NA	27.5	5343	10503	8707
49.472	1.971448631	16.1667	4893	32556	25374
48.192	NA	13.5	5360	36192	26335
49.652	NA	12.5	5122	20431	24636
49.868	NA	13.5	5450	42282	43160
47.124	2.644752018	10	5179	6392	8319
49.096	1.713402684	7.33333	4975	28137	36017
48.956	NA	14.8333	5543	59485	67196
49.488	NA	19.6667	4782	13681	12655
49.432	NA	17.1667	4583	45091	49336
48.336	NA	19.3333	5512	52488	46000
48.892	NA	18.8333	5258	28522	29271
49.44	NA	21.8333	9697	26553	19365
48.412	NA	17	6028	13004	14481
50.556	NA	16.3333	4654	44859	40133
49.016	3.053930055	14.1667	5313	50306	53306
50.032	NA	9	4937	39651	44848
49.632	NA	15.3333	4992	48857	53445
47.128	NA	22	5535	22610	32136
48.684	NA	17.3333	4715	16929	17987
49.532	NA	12.1667	4920	39383	47081
48.788	1.897757608	12.8333	5203	35137	35684
49.104	NA	13.5	5003	30049	35221
48.092	NA	11.1667	5213	24312	24006
49.38	NA	11.3333	4984	37303	38507
48.208	NA	14.3333	5395	32333	42878
48.448	3.721834937	15.8333	5212	36523	49884
49.24	2.44100656	9.5	4552	30441	39770
48.964	NA	15.6667	4895	45646	51349
48.844	NA	19.1667	4876	17759	25696
49.02	NA	18.5	5040	28643	30992
49.672	NA	13	4783	35712	47413
49.312	NA	15.8333	4868	28852	33888
47.948	NA	20	5028	25136	27759
49.32	NA	11.5	5176	42287	49000
47.584	NA	15.1667	5182	24818	28902
48.832	NA	9.66667	8038	45215	52211
48.664	NA	14	5135	29103	39564
48.68	NA	26.5	4868	40704	32503
49.768	3.037202918	8.33333	5027	39874	44694
48.844	1.50851111	7.66667	5528	42126	55272
48.084	NA	14	5664	29993	50189
49.408	5.43159052	16.1667	5382	34694	41504
48.984	2.498000511	12	5015	15793	14195
48.724	NA	16.1667	5362	38730	44477
47.464	NA	29.8333	5236	14562	11719
48.828	2.184895996	11.6667	7163	26593	28821
48.404	NA	13.1667	5177	26564	23602
49.468	2.216578223	17.8333	4854	32297	33293
49.016	3.892461468	15.5	5168	59964	42087
49.172	NA	23.5	5364	51498	66318
50.236	NA	19.6667	5063	25976	30719
49.776	NA	14.5	5328	39176	38930
49.496	NA	23.3333	5186	25853	24206
48.156	NA	35.3333	7199	27923	23287
49.048	NA	31	5295	53929	59613
48.216	NA	35.5	5335	20539	31687
49.116	NA	30	4998	43727	44219
49.5	NA	41	5243	36852	50777
49.068	NA	36.6667	5225	22103	19976
48.3	2.11476952	16.1667	5323	6109	8288
48.384	NA	29.1667	5077	36811	32346
49.54	4.234052749	38.3333	5122	46511	42645
48.9	NA	25	5240	18844	18918
47.644	NA	40.3333	28779	11701	22903
47.476	4.434399118	70.5	42383	7099	8139
45.8	NA	99.3333	42566	5748	7482
49.028	NA	114.167	10025	24733	37858
49.084	NA	95.3333	6690	20483	25029
47.068	NA	136.833	6961	31693	32298
48.476	NA	45.5	5137	44794	51190
49.588	NA	27.3333	5176	37414	47650
48.336	NA	19.1667	17111	27416	32617
48.868	NA	35.8333	9119	22198	28143
48.896	6.450015065	15.6667	5379	43837	47160
50.448	NA	27.6667	4754	28786	35739
47.976	1.906560971	32.6667	5357	17871	24754
48.216	NA	18.6667	6747	29365	45664
49.196	2.297834733	17	5465	18011	19414
49.444	NA	23.5	10399	25120	27501
49.744	1.821326635	33	5284	58442	62738
49.82	NA	25.8333	9632	32001	47779
49.12	2.805007942	26.6667	5083	35097	29567
39.924	NA	64.6667	4971	16771	9495
