Variants	Induction>1.5	M.RNAseq	M.H3K4me2	M.H3K4me3	M.H3K27me3	M.H3K36me3	GC content
208.5	3.034738617	5930	5233	7053	38318	41107	47.428
286.833	2.45	200	5262	6656	42753	46897	45.784
86	NA	4250	5780	7049	40520	39343	46.172
121.333	3.872131148	1220	5045	6896	38611	42630	46.804
120	5.305502846	1054	4889	6674	40024	49429	47.852
36.1667	NA	23598	8198	8741	36471	44630	47.952
65.6667	NA	16983	13716	15880	35500	39027	46.964
178.333	NA	1767	10887	12066	41166	41881	46.32
49.6667	NA	3173	6086	7685	37240	41367	47.092
66.5	5.308765653	2795	21745	19618	24650	37933	48.5
40.1667	NA	17651	26286	26056	30202	40859	48.212
45	NA	29043	35965	48174	26591	39816	48.004
23.8333	1.840947111	15542	30609	41028	5447	40055	49.26
9.33333	NA	23075	22978	22813	4777	35646	49.616
18.3333	NA	18602	40370	41558	6927	30059	49.036
5.5	NA	20450	51167	42691	5010	41183	50.132
12.8333	NA	90670	28817	31448	5412	27588	48.248
10.1667	1.973758608	27590	62771	66803	5257	31197	49.372
5.66667	NA	63701	55223	49832	5364	35402	48.676
16.5	NA	83991	40712	30788	7613	28373	49.756
8.5	NA	44958	51179	49806	5678	30109	49.204
10.6667	NA	12468	33831	37594	5191	35930	48.884
14.1667	1.818113632	5333	35770	33021	5376	39724	48.312
8.16667	4.764372148	25205	35805	35107	4976	38366	49.092
17.3333	NA	6616	22198	22616	5203	30686	47.988
11	NA	44993	45662	38848	5202	41161	49.4
14.6667	NA	31208	23716	32869	5178	36704	49.268
8.16667	NA	238570	22375	24241	8768	42756	48.268
15.6667	NA	28637	20148	26321	5420	31199	48.324
19.6667	NA	179627	18352	24040	4618	31866	50.004
14.5	NA	22677	47403	36809	5602	35708	48.704
26.1667	2.074884108	8413	37988	33967	11737	39741	47.916
52.3333	NA	3320	17132	18051	39943	48672	47.4
33.8333	2.899447061	4883	27687	34990	11807	37972	47.716
17.3333	5.963011889	1514	9887	12070	4949	17642	50.216
18.8333	NA	14863	31828	27161	5133	37140	49.244
31.6667	1.888562142	6461	21365	20590	5149	39112	48.748
29.6667	NA	12867	48223	41683	5344	33646	49.076
10.6667	NA	13267	55091	57014	8057	41847	49.572
16.1667	2.321427149	50226	12603	15764	20137	43941	48.712
25	NA	4129	7720	9405	39069	42624	47.156
23.8333	NA	13779	17371	24804	19526	36222	48.004
22.1667	1.651187727	24248	47669	52876	5690	33135	49.252
35.6667	NA	25963	33780	49337	7885	37689	48.764
20.8333	NA	15051	29801	29246	5266	26135	48.784
25.6667	NA	24164	38234	33441	5274	36308	48.5
20.5	NA	19809	27799	34749	5248	25584	48.664
8.66667	NA	14518	33180	20454	5126	42130	49.628
18.6667	NA	4706	13818	32467	5587	24274	47.664
15	NA	13954	19043	25419	5264	35452	48.304
10.1667	2.0015675	15311	33276	42331	8244	36777	48.508
13.3333	4.716995448	7908	36600	43091	4768	34797	49.428
11.5	NA	147635	54167	51068	5435	36409	49.188
7.66667	NA	37223	42475	52300	5491	36704	48.328
89.1667	2.913484487	23464	29277	22713	4514	20313	31.084
161.5	NA	20	2351	1544	4179	674	13.052
159	1.732	2000	12258	8416	4223	12736	21.16
6.33333	3.976055566	32826	54151	59506	5081	40090	48.98
9.5	3.12588789	23370	39336	43544	5068	45807	49.556
15.5	6.587284627	14974	23845	34148	4907	28119	48.704
13	NA	35319	36505	35996	4856	30059	49.532
5.16667	2.752325413	20749	50303	46682	5247	38776	49.336
5.33333	NA	205261	56165	45529	5393	34815	49.148
10.1667	NA	10531	43556	36988	5351	30593	48.716
7	NA	12954	28185	29646	4802	36641	49.368
7.5	NA	32494	52527	47935	4789	40510	49.648
4.66667	2.605185985	12958	49485	44354	5088	35036	49.644
4.83333	NA	5010	21751	18865	5156	30381	48.804
4.16667	NA	139767	46026	41583	5453	27860	48.068
5.66667	NA	38199	39031	43761	5071	30657	49.124
4.5	2.279449788	9669	31999	38466	5269	29081	48.984
7.5	5.143594557	17048	32000	40678	5248	36190	49.048
5.66667	NA	42427	46053	39795	4798	33443	49.34
2.83333	NA	26646	33805	51879	5302	29359	48.444
4.66667	2.694269663	17800	17558	24678	4804	20392	49.74
6.16667	1.891868331	61943	57524	69425	5020	34342	50.02
7.16667	NA	21968	36168	46992	5410	31370	48.66
5.33333	NA	92891	25497	25385	5537	34284	48.312
7	NA	29078	38534	43934	4758	33612	50.084
10.1667	NA	15117	24888	28055	5077	33964	47.976
7.66667	NA	4484	19750	17819	5040	32306	49.712
10.8333	NA	36933	59610	60618	5377	39734	48.524
4.83333	NA	16645	28312	35124	5055	35031	48.508
5.16667	2.502346038	85037	14764	15730	5318	24435	48.904
7.66667	NA	17077	27984	27922	4888	34783	49.508
7.83333	NA	16941	32865	34798	4772	27033	49.292
9.66667	NA	16762	40584	60110	5009	34276	49.6
15.5	2.314155251	2190	6293	8551	4174	38530	50.192
9	NA	113082	46554	48314	5178	36076	49.096
10	NA	10043	24584	25747	5108	28437	49.244
16.6667	NA	17350	32876	35169	4848	27904	47.824
11.8333	NA	12265	27525	34967	5112	28937	48.84
11.5	NA	32254	39486	48743	5620	33848	48.84
11.1667	NA	74066	20500	16769	5143	23007	48.78
23.8333	NA	291023	38655	39732	5117	25860	49.236
20.8333	NA	35043	55312	71032	4869	34268	49.732
17.8333	NA	44497	34857	40124	5359	36122	48.792
16.6667	NA	15405	37226	35452	5115	32304	48.608
23	NA	28451	17942	27709	4619	29636	49.228
52.8333	NA	14083	45410	33213	5275	36756	49.04
29.3333	2.342337359	32541	32699	36562	5248	26993	48.124
9.5	NA	10806	19913	23092	5106	35495	48.768
13.8333	NA	8434	28514	23462	4846	31110	49.06
15.5	NA	43048	24349	18166	5006	35653	48.932
12.8333	NA	21920	34526	32720	4971	32904	47.276
7.83333	NA	531940	34718	36490	5528	30406	48.384
6.16667	2.004299481	26980	38273	49898	4910	36749	50.256
14.1667	NA	21354	41628	47978	4942	38593	49.76
14.8333	6.056038057	22913	43505	51685	5171	32734	49.292
19	NA	26841	44920	43498	5346	35698	47.9
13.5	NA	68535	30759	28960	5068	35050	48.704
16.1667	NA	34968	56802	64595	5288	39853	49.34
19.1667	NA	18985	32594	40030	5824	34373	47.88
8.66667	1.654837404	7411	13441	17260	11120	39171	48.56
10.8333	1.572321222	12963	34705	50648	4604	35267	49.664
25.8333	NA	59785	51659	66917	5221	34140	49.064
28	NA	23505	40657	60655	5444	32575	48.936
15.3333	NA	4066	15463	15678	19005	41906	48.276
46.8333	NA	6688	9163	9864	26464	38613	46.832
40	2.447863248	4095	25100	23090	8550	35588	49.308
21	1.777200316	8851	28017	36176	5026	32288	49.44
